"Position (in January)","Name","ELO","Date","Age"
1,"Carlsen",2862,"2021 Jan",30
2,"Caruana",2823,"2021 Jan",28
3,"Ding Liren",2791,"2021 Jan",28
4,"Nepomniachtchi",2789,"2021 Jan",30
5,"Vachier-Lagrave",2784,"2021 Jan",30
6,"Aronian",2781,"2021 Jan",38
7,"Grischuk",2777,"2021 Jan",37
8,"Mamedyarov",2770,"2021 Jan",35
9,"So",2770,"2021 Jan",27
10,"Radjabov",2765,"2021 Jan",33
11,"Giri",2764,"2021 Jan",26
12,"Wang Hao",2763,"2021 Jan",31
13,"Rapport",2759,"2021 Jan",24
14,"Dominguez Perez",2758,"2021 Jan",37
15,"Karjakin",2757,"2021 Jan",30
16,"Anand",2753,"2021 Jan",51
17,"Kramnik",2753,"2021 Jan",45
18,"Firouzja",2749,"2021 Jan",17
19,"Duda",2743,"2021 Jan",22
20,"Nakamura",2736,"2021 Jan",33
1,"Carlsen",2872,"2020 Jan",29
2,"Caruana",2822,"2020 Jan",27
3,"Ding Liren",2805,"2020 Jan",27
4,"Grischuk",2777,"2020 Jan",36
5,"Nepomniachtchi",2774,"2020 Jan",29
6,"Aronian",2773,"2020 Jan",37
7,"Vachier-Lagrave",2770,"2020 Jan",29
8,"Mamedyarov",2770,"2020 Jan",34
9,"Giri",2768,"2020 Jan",25
10,"So",2765,"2020 Jan",26
11,"Radjabov",2765,"2020 Jan",32
12,"Wang Hao",2758,"2020 Jan",30
13,"Anand",2758,"2020 Jan",50
14,"Rapport",2758,"2020 Jan",23
15,"Dominguez Perez",2758,"2020 Jan",36
16,"Duda",2758,"2020 Jan",21
17,"Kramnik",2753,"2020 Jan",44
18,"Karjakin",2752,"2020 Jan",29
19,"Vitiugov",2747,"2020 Jan",32
20,"Topalov",2738,"2020 Jan",44
1,"Carlsen",2835,"2019 Jan",28
2,"Caruana",2828,"2019 Jan",26
3,"Mamedyarov",2817,"2019 Jan",33
4,"Ding Liren",2813,"2019 Jan",26
5,"Giri",2783,"2019 Jan",24
6,"Vachier-Lagrave",2780,"2019 Jan",28
7,"Kramnik",2777,"2019 Jan",43
8,"Anand",2773,"2019 Jan",49
9,"Grischuk",2771,"2019 Jan",35
10,"Aronian",2767,"2019 Jan",36
11,"So",2765,"2019 Jan",25
12,"Yu Yangyi",2764,"2019 Jan",24
13,"Nepomniachtchi",2763,"2019 Jan",28
14,"Radjabov",2757,"2019 Jan",31
15,"Karjakin",2753,"2019 Jan",28
16,"Nakamura",2749,"2019 Jan",31
17,"Topalov",2740,"2019 Jan",43
18,"Navara",2738,"2019 Jan",33
19,"Duda",2738,"2019 Jan",20
20,"Svidler",2737,"2019 Jan",42
1,"Carlsen",2834,"2018 Jan",27
2,"Caruana",2811,"2018 Jan",25
3,"Mamedyarov",2804,"2018 Jan",32
4,"Aronian",2797,"2018 Jan",35
5,"Vachier-Lagrave",2793,"2018 Jan",27
6,"So",2792,"2018 Jan",24
7,"Kramnik",2787,"2018 Jan",42
8,"Nakamura",2781,"2018 Jan",30
9,"Ding Liren",2769,"2018 Jan",25
10,"Svidler",2768,"2018 Jan",41
11,"Anand",2767,"2018 Jan",48
12,"Grischuk",2767,"2018 Jan",34
13,"Yu Yangyi",2760,"2018 Jan",23
14,"Karjakin",2753,"2018 Jan",27
15,"Giri",2752,"2018 Jan",23
16,"Nepomniachtchi",2751,"2018 Jan",27
17,"Navara",2749,"2018 Jan",32
18,"Topalov",2749,"2018 Jan",42
19,"Radjabov",2748,"2018 Jan",30
20,"Harikrishna",2745,"2018 Jan",31
1,"Carlsen",2840,"2017 Jan",26
2,"Caruana",2827,"2017 Jan",24
3,"Kramnik",2811,"2017 Jan",41
4,"So",2808,"2017 Jan",23
5,"Vachier-Lagrave",2796,"2017 Jan",26
6,"Anand",2786,"2017 Jan",47
7,"Nakamura",2785,"2017 Jan",29
8,"Karjakin",2785,"2017 Jan",26
9,"Aronian",2780,"2017 Jan",34
10,"Giri",2773,"2017 Jan",22
11,"Nepomniachtchi",2767,"2017 Jan",26
12,"Harikrishna",2766,"2017 Jan",30
13,"Mamedyarov",2766,"2017 Jan",31
14,"Ding Liren",2760,"2017 Jan",24
15,"Eljanov",2755,"2017 Jan",33
16,"Ivanchuk",2752,"2017 Jan",47
17,"Adams",2751,"2017 Jan",45
18,"Wojtaszek",2750,"2017 Jan",29
19,"Svidler",2748,"2017 Jan",40
20,"Grischuk",2742,"2017 Jan",33
1,"Carlsen",2844,"2016 Jan",25
2,"Kramnik",2801,"2016 Jan",40
3,"Giri",2798,"2016 Jan",21
4,"Aronian",2792,"2016 Jan",33
5,"Caruana",2787,"2016 Jan",23
6,"Nakamura",2787,"2016 Jan",28
7,"Vachier-Lagrave",2785,"2016 Jan",25
8,"Anand",2784,"2016 Jan",46
9,"Topalov",2780,"2016 Jan",40
10,"So",2773,"2016 Jan",22
11,"Karjakin",2769,"2016 Jan",25
12,"Ding Liren",2766,"2016 Jan",23
13,"Eljanov",2760,"2016 Jan",32
14,"Harikrishna",2755,"2016 Jan",29
15,"Grischuk",2752,"2016 Jan",32
16,"Li Chao",2751,"2016 Jan",26
17,"Svidler",2751,"2016 Jan",39
18,"Yu Yangyi",2747,"2016 Jan",21
19,"Mamedyarov",2747,"2016 Jan",30
20,"Adams",2744,"2016 Jan",44
1,"Carlsen",2862,"2015 Jan",24
2,"Caruana",2820,"2015 Jan",22
3,"Grischuk",2810,"2015 Jan",31
4,"Topalov",2800,"2015 Jan",39
5,"Anand",2797,"2015 Jan",45
6,"Aronian",2797,"2015 Jan",32
7,"Giri",2784,"2015 Jan",20
8,"Kramnik",2783,"2015 Jan",39
9,"Nakamura",2776,"2015 Jan",27
10,"So",2762,"2015 Jan",21
11,"Karjakin",2760,"2015 Jan",24
12,"Mamedyarov",2759,"2015 Jan",29
13,"Vachier-Lagrave",2757,"2015 Jan",24
14,"Gelfand",2747,"2015 Jan",46
15,"Wojtaszek",2744,"2015 Jan",27
16,"Svidler",2739,"2015 Jan",38
17,"Adams",2738,"2015 Jan",43
18,"Andreikin",2737,"2015 Jan",24
19,"Vitiugov",2735,"2015 Jan",27
20,"Radjabov",2734,"2015 Jan",27
1,"Carlsen",2872,"2014 Jan",23
2,"Aronian",2812,"2014 Jan",31
3,"Nakamura",2789,"2014 Jan",26
4,"Kramnik",2787,"2014 Jan",38
5,"Topalov",2785,"2014 Jan",38
6,"Caruana",2782,"2014 Jan",21
7,"Grischuk",2777,"2014 Jan",30
8,"Gelfand",2777,"2014 Jan",45
9,"Anand",2773,"2014 Jan",44
10,"Karjakin",2759,"2014 Jan",23
11,"Svidler",2758,"2014 Jan",37
12,"Mamedyarov",2757,"2014 Jan",28
13,"Adams",2754,"2014 Jan",42
14,"Dominguez Perez",2754,"2014 Jan",30
15,"Vachier-Lagrave",2745,"2014 Jan",23
16,"Ivanchuk",2739,"2014 Jan",44
17,"Bacrot",2738,"2014 Jan",30
18,"Vitiugov",2737,"2014 Jan",26
19,"Giri",2734,"2014 Jan",19
20,"Wang Hao",2734,"2014 Jan",24
1,"Carlsen",2861,"2013 Jan",22
2,"Kramnik",2810,"2013 Jan",37
3,"Aronian",2802,"2013 Jan",30
4,"Radjabov",2793,"2013 Jan",25
5,"Caruana",2781,"2013 Jan",20
6,"Karjakin",2780,"2013 Jan",22
7,"Anand",2772,"2013 Jan",43
8,"Topalov",2771,"2013 Jan",37
9,"Nakamura",2769,"2013 Jan",25
10,"Mamedyarov",2766,"2013 Jan",27
11,"Grischuk",2764,"2013 Jan",29
12,"Morozevich",2758,"2013 Jan",35
13,"Ivanchuk",2758,"2013 Jan",43
14,"Wang Hao",2752,"2013 Jan",23
15,"Svidler",2747,"2013 Jan",36
16,"Gelfand",2740,"2013 Jan",44
17,"Kamsky",2740,"2013 Jan",38
18,"Gashimov",2737,"2013 Jan",26
19,"Leko",2735,"2013 Jan",33
20,"Jakovenko",2734,"2013 Jan",29
1,"Carlsen",2835,"2012 Jan",21
2,"Aronian",2805,"2012 Jan",29
3,"Kramnik",2801,"2012 Jan",36
4,"Anand",2799,"2012 Jan",42
5,"Radjabov",2773,"2012 Jan",24
6,"Topalov",2770,"2012 Jan",36
7,"Karjakin",2769,"2012 Jan",21
8,"Ivanchuk",2766,"2012 Jan",42
9,"Morozevich",2763,"2012 Jan",34
10,"Gashimov",2761,"2012 Jan",25
11,"Grischuk",2761,"2012 Jan",28
12,"Nakamura",2759,"2012 Jan",24
13,"Svidler",2749,"2012 Jan",35
14,"Mamedyarov",2747,"2012 Jan",26
15,"Tomashevsky",2740,"2012 Jan",24
16,"Gelfand",2739,"2012 Jan",43
17,"Caruana",2736,"2012 Jan",19
18,"Nepomniachtchi",2735,"2012 Jan",21
19,"Wang Hao",2733,"2012 Jan",22
20,"Kamsky",2732,"2012 Jan",37
1,"Carlsen",2814,"2011 Jan",20
2,"Anand",2810,"2011 Jan",41
3,"Aronian",2805,"2011 Jan",28
4,"Kramnik",2784,"2011 Jan",35
5,"Karjakin",2776,"2011 Jan",20
6,"Topalov",2775,"2011 Jan",35
7,"Grischuk",2773,"2011 Jan",27
8,"Mamedyarov",2772,"2011 Jan",25
9,"Ivanchuk",2764,"2011 Jan",41
10,"Nakamura",2751,"2011 Jan",23
11,"Ponomariov",2744,"2011 Jan",27
12,"Radjabov",2744,"2011 Jan",23
13,"Gashimov",2736,"2011 Jan",24
14,"Wang Yue",2734,"2011 Jan",23
15,"Nepomniachtchi",2733,"2011 Jan",20
16,"Gelfand",2733,"2011 Jan",42
17,"Wang Hao",2731,"2011 Jan",21
18,"Svidler",2730,"2011 Jan",34
19,"Kamsky",2730,"2011 Jan",36
20,"Wojtaszek",2726,"2011 Jan",23
1,"Carlsen",2810,"2010 Jan",19
2,"Topalov",2805,"2010 Jan",34
3,"Anand",2790,"2010 Jan",40
4,"Kramnik",2788,"2010 Jan",34
5,"Aronian",2781,"2010 Jan",27
6,"Gelfand",2761,"2010 Jan",41
7,"Gashimov",2759,"2010 Jan",23
8,"Ivanchuk",2749,"2010 Jan",40
9,"Wang Yue",2749,"2010 Jan",22
10,"Svidler",2744,"2010 Jan",33
11,"Mamedyarov",2741,"2010 Jan",24
12,"Leko",2739,"2010 Jan",30
13,"Ponomariov",2737,"2010 Jan",26
14,"Eljanov",2736,"2010 Jan",26
15,"Grischuk",2736,"2010 Jan",26
16,"Radjabov",2733,"2010 Jan",22
17,"Morozevich",2732,"2010 Jan",32
18,"Vachier-Lagrave",2730,"2010 Jan",19
19,"Jakovenko",2730,"2010 Jan",26
20,"Shirov",2723,"2010 Jan",37
1,"Topalov",2796,"2009 Jan",33
2,"Anand",2791,"2009 Jan",39
3,"Ivanchuk",2779,"2009 Jan",39
4,"Carlsen",2776,"2009 Jan",18
5,"Morozevich",2771,"2009 Jan",31
6,"Radjabov",2761,"2009 Jan",21
7,"Jakovenko",2760,"2009 Jan",25
8,"Kramnik",2759,"2009 Jan",33
9,"Leko",2751,"2009 Jan",29
10,"Movsesian S",2751,"2009 Jan",30
11,"Aronian",2750,"2009 Jan",26
12,"Shirov",2745,"2009 Jan",36
13,"Wang Yue",2739,"2009 Jan",21
14,"Grischuk",2733,"2009 Jan",25
